kshkod,town_name,district_name,county,Fragmentation,Fragmentation_scaled,SPB,SPB_norm,ADC,ADC_norm,SCA,SCA_norm
1301,Hodasz,Mátészalkai,Szabolcs-Szatmar-Bereg,0.25112471,-0.75224489,0.0,-1.7665223,711.77722,-0.68511188,0.21217139,-2.7690349
1327,Szigethalom,Szigetszentmiklósi,Pest,0.31064501,0.28024566,0.62861419,0.47079995,1046.644,-0.38073808,0.055189412,0.043424994
1338,Domaszek,Szegedi,Csongrad,0.4016664,1.8591812,0.47958949,0.15667544,585.77179,-0.88051254,0.035541561,0.27167654
1340,Balloszog,Kecskeméti,Baranya,0.41119999,2.024559,0.50470668,0.29098263,484.2822,-1.0166125,0.016328668,0.59333175
1343,Nagykata,Nagykátai,Pest,0.28710619,-0.12807918,0.72306979,0.96730936,1098.454,-0.2253149,0.041210506,0.2154132
1346,Ivancsa,Dunaújvárosi,Fejer,0.2424871,-0.9020803,0.0,-1.7665223,924.12927,-0.40240914,0.035293318,0.28242049
1353,Kormend,Körmendi,Vas,0.3601808,1.139536,0.82547659,1.435165,1740.089,0.71746707,0.0074861706,0.75225705
1355,Nyirtelek,Nyíregyházi,Szabolcs-Szatmar-Bereg,0.3684392,1.2827934,0.79609501,1.2617731,2985.104,2.3902426,0.054212246,0.0019536521
1365,Balassagyarmat,Balassagyarmati,Nograd,0.29929999,0.08344499,0.73468119,0.9812327,912.9375,-0.49357525,0.0094101764,0.7261768
1381,Tiszafoldvar,Kunszentmártoni,Jasz-Nagykun-Szolnok,0.30872801,0.24699163,0.34219381,-0.46053386,1504.6379,0.35189378,0.040096499,0.22719613
1383,Mezocsat,Mezőcsáti,Borsod-Abauj-Zemplen,0.29779279,0.057299919,0.0049176998,-1.7473761,920.17133,-0.4325268,0.019013934,0.56173414
1394,Hevizgyork,Aszódi,Pest,0.32785991,0.57887006,0.57761818,0.3998476,757.31769,-0.70207357,0.086813435,-0.50355446
1395,Jak,Szombathelyi,Vas,0.31336829,0.32748595,0.0,-1.7665223,733.8175,-0.6532563,0.075390235,-0.41895568
