metroreg,TIME_PERIOD,area,gdp,population,unemp,metroreg_d,iccs,Nr_Crimes,iccs_d
AT003M,2013,4404.0,42300.0,,,Linz,ICCS050211,89,Theft of a motorized land vehicle
AT003M,2014,4404.0,42900.0,765295.0,,Linz,ICCS0101,2,Intentional homicide
AT003M,2014,4404.0,42900.0,765295.0,,Linz,ICCS0401,171,Robbery
AT003M,2014,4404.0,42900.0,765295.0,,Linz,ICCS05012,880,Burglary of private residential premises
AT003M,2014,4404.0,42900.0,765295.0,,Linz,ICCS050211,85,Theft of a motorized land vehicle
AT003M,2015,4404.0,44100.0,772849.0,,Linz,ICCS0101,6,Intentional homicide
AT003M,2015,4404.0,44100.0,772849.0,,Linz,ICCS0401,174,Robbery
AT003M,2015,4404.0,44100.0,772849.0,,Linz,ICCS05012,1224,Burglary of private residential premises
AT003M,2015,4404.0,44100.0,772849.0,,Linz,ICCS050211,119,Theft of a motorized land vehicle
AT003M,2016,4404.0,44700.0,782926.0,,Linz,ICCS0101,5,Intentional homicide
AT003M,2016,4404.0,44700.0,782926.0,,Linz,ICCS0401,175,Robbery
AT003M,2016,4404.0,44700.0,782926.0,,Linz,ICCS05012,843,Burglary of private residential premises
AT003M,2016,4404.0,44700.0,782926.0,,Linz,ICCS050211,145,Theft of a motorized land vehicle
AT003M,2017,4404.0,46100.0,789811.0,17.7,Linz,ICCS0101,3,Intentional homicide
AT003M,2017,4404.0,46100.0,789811.0,17.7,Linz,ICCS0401,223,Robbery
AT003M,2017,4404.0,46100.0,789811.0,17.7,Linz,ICCS05012,802,Burglary of private residential premises
AT003M,2017,4404.0,46100.0,789811.0,17.7,Linz,ICCS050211,106,Theft of a motorized land vehicle
AT003M,2018,4404.0,48200.0,795512.0,14.6,Linz,ICCS0101,2,Intentional homicide
AT003M,2018,4404.0,48200.0,795512.0,14.6,Linz,ICCS0401,234,Robbery
AT003M,2018,4404.0,48200.0,795512.0,14.6,Linz,ICCS05012,898,Burglary of private residential premises
AT003M,2018,4404.0,48200.0,795512.0,14.6,Linz,ICCS050211,142,Theft of a motorized land vehicle
AT003M,2019,4404.0,49200.0,801085.0,13.2,Linz,ICCS0101,2,Intentional homicide
AT003M,2019,4404.0,49200.0,801085.0,13.2,Linz,ICCS0401,255,Robbery
AT003M,2019,4404.0,49200.0,801085.0,13.2,Linz,ICCS05012,678,Burglary of private residential premises
AT003M,2019,4404.0,49200.0,801085.0,13.2,Linz,ICCS050211,156,Theft of a motorized land vehicle
AT003M,2020,4404.0,47600.0,805770.0,17.5,Linz,ICCS0101,7,Intentional homicide
AT003M,2020,4404.0,47600.0,805770.0,17.5,Linz,ICCS0401,225,Robbery
AT003M,2020,4404.0,47600.0,805770.0,17.5,Linz,ICCS05012,534,Burglary of private residential premises
AT003M,2020,4404.0,47600.0,805770.0,17.5,Linz,ICCS050211,106,Theft of a motorized land vehicle
AT004M,2008,1738.9,44600.0,,,Salzburg,ICCS0101,3,Intentional homicide
AT004M,2008,1738.9,44600.0,,,Salzburg,ICCS0401,131,Robbery
