DATAFLOW,LAST UPDATE,freq,indic_il,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TESSI190(1.0),22/12/23 11:00:00,A:Annual,GINI_HND:Gini coefficient (scale from 0 to 100),DK:Denmark,2016,27.7,
ESTAT:TESSI190(1.0),22/12/23 11:00:00,A:Annual,GINI_HND:Gini coefficient (scale from 0 to 100),DK:Denmark,2017,27.6,
ESTAT:TESSI190(1.0),22/12/23 11:00:00,A:Annual,GINI_HND:Gini coefficient (scale from 0 to 100),DK:Denmark,2018,27.8,
ESTAT:TESSI190(1.0),22/12/23 11:00:00,A:Annual,GINI_HND:Gini coefficient (scale from 0 to 100),DK:Denmark,2019,27.5,
ESTAT:TESSI190(1.0),22/12/23 11:00:00,A:Annual,GINI_HND:Gini coefficient (scale from 0 to 100),DK:Denmark,2020,27.3,b
ESTAT:TESSI190(1.0),22/12/23 11:00:00,A:Annual,GINI_HND:Gini coefficient (scale from 0 to 100),DK:Denmark,2021,27.0,
ESTAT:TESSI190(1.0),22/12/23 11:00:00,A:Annual,GINI_HND:Gini coefficient (scale from 0 to 100),DK:Denmark,2022,27.7,
ESTAT:TESSI190(1.0),22/12/23 11:00:00,A:Annual,GINI_HND:Gini coefficient (scale from 0 to 100),EA19:Euro area - 19 countries  (2015-2022),2011,30.6,
ESTAT:TESSI190(1.0),22/12/23 11:00:00,A:Annual,GINI_HND:Gini coefficient (scale from 0 to 100),EA19:Euro area - 19 countries  (2015-2022),2012,30.5,
ESTAT:TESSI190(1.0),22/12/23 11:00:00,A:Annual,GINI_HND:Gini coefficient (scale from 0 to 100),EA19:Euro area - 19 countries  (2015-2022),2013,30.7,
ESTAT:TESSI190(1.0),22/12/23 11:00:00,A:Annual,GINI_HND:Gini coefficient (scale from 0 to 100),EA19:Euro area - 19 countries  (2015-2022),2014,31.0,
ESTAT:TESSI190(1.0),22/12/23 11:00:00,A:Annual,GINI_HND:Gini coefficient (scale from 0 to 100),EA19:Euro area - 19 countries  (2015-2022),2015,30.7,
ESTAT:TESSI190(1.0),22/12/23 11:00:00,A:Annual,GINI_HND:Gini coefficient (scale from 0 to 100),EA19:Euro area - 19 countries  (2015-2022),2016,30.7,
ESTAT:TESSI190(1.0),22/12/23 11:00:00,A:Annual,GINI_HND:Gini coefficient (scale from 0 to 100),EA19:Euro area - 19 countries  (2015-2022),2017,30.4,
ESTAT:TESSI190(1.0),22/12/23 11:00:00,A:Annual,GINI_HND:Gini coefficient (scale from 0 to 100),EA19:Euro area - 19 countries  (2015-2022),2018,30.6,
ESTAT:TESSI190(1.0),22/12/23 11:00:00,A:Annual,GINI_HND:Gini coefficient (scale from 0 to 100),EA19:Euro area - 19 countries  (2015-2022),2019,30.2,
ESTAT:TESSI190(1.0),22/12/23 11:00:00,A:Annual,GINI_HND:Gini coefficient (scale from 0 to 100),EA19:Euro area - 19 countries  (2015-2022),2020,30.3,b
